pr_number,title,author,url,outcome,replacement_prs,notes
397,Saniya day 5,Saniya78699,https://github.com/z-pandeyji/BIT-SummerTraining/pull/397,merged-direct,,Structure and completion review passed.
396, Day 05 Assignment - Rahul Singh - Batch B,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/396,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
395,Day 04 Assignment - Rahul Singh - Batch B,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/395,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
394, Day 03 Assignment - Rahul Singh - Batch B,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/394,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
393,Day - 02  Assignment - Rahul Singh - Batch B ,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/393,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
392,Add Day 14 assignment by Priyanshu,code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/392,merged-direct,,Structure and completion review passed.
391,Add Day 13 assignment by Priyanshu,code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/391,merged-direct,,Structure and completion review passed.
390,Add Day 12 assignment by Priyanshu,code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/390,merged-direct,,Structure and completion review passed.
389,saniya day 4,Saniya78699,https://github.com/z-pandeyji/BIT-SummerTraining/pull/389,merged-direct,,Structure and completion review passed.
388,Add day 12 assignment by Deependra,Deependra022,https://github.com/z-pandeyji/BIT-SummerTraining/pull/388,merged-direct,,Structure and completion review passed.
387,Add day-11 assignment by Deependra,Deependra022,https://github.com/z-pandeyji/BIT-SummerTraining/pull/387,merged-direct,,Structure and completion review passed.
386,Day 1: Added Python solution by Rahul Singh,RahulSingh2026,https://github.com/z-pandeyji/BIT-SummerTraining/pull/386,closed-incomplete,,Duplicate or incomplete assignment; exact feedback posted before closure.
385,Day 12 assignment by AnkitaSingh,Ankita30singh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/385,replaced-by-clean-repair,#401,Completed assignment files moved to canonical paths; original malformed PR closed.
383,Day 07 malya,malyasrivastava886,https://github.com/z-pandeyji/BIT-SummerTraining/pull/383,replaced-by-clean-repair,#402,Completed assignment files moved to canonical paths; original malformed PR closed.
382,Day 10 raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/382,closed-incomplete,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
381,Day 09 raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/381,replaced-by-clean-repair,#403,Completed assignment files moved to canonical paths; original malformed PR closed.
380,Day 08 raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/380,replaced-by-clean-repair,#404,Completed assignment files moved to canonical paths; original malformed PR closed.
379,Completed Day 11 Assignment by Aradhana,Aradhana-Cypher,https://github.com/z-pandeyji/BIT-SummerTraining/pull/379,merged-direct,,Structure and completion review passed.
378,Completed Day 10 Assignment by Aradhana,Aradhana-Cypher,https://github.com/z-pandeyji/BIT-SummerTraining/pull/378,merged-direct,,Structure and completion review passed.
377,Add Day 9 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/377,merged-direct,,Structure and completion review passed.
376,Add Day 8 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/376,merged-direct,,Structure and completion review passed.
375,Add Day 7 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/375,merged-direct,,Structure and completion review passed.
374,Add Day 11 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/374,merged-direct,,Structure and completion review passed.
373,Add Day 10 assignment by Priyanshu (clean),code-with-priyansh,https://github.com/z-pandeyji/BIT-SummerTraining/pull/373,merged-direct,,Structure and completion review passed.
372,Add Day 14 assignment by Khushi Patwa,patwakhushi1502,https://github.com/z-pandeyji/BIT-SummerTraining/pull/372,merged-direct,,Structure and completion review passed.
371,Day 05 ashish,ashish972168,https://github.com/z-pandeyji/BIT-SummerTraining/pull/371,replaced-by-clean-repair,#405,Completed assignment files moved to canonical paths; original malformed PR closed.
370,aman_sahani,aman051005,https://github.com/z-pandeyji/BIT-SummerTraining/pull/370,replaced-by-clean-repair,#406 | #407 | #408 | #409 | #410 | #411 | #412,Completed assignment files moved to canonical paths; original malformed PR closed.
369,aman_sahani,aman051005,https://github.com/z-pandeyji/BIT-SummerTraining/pull/369,closed-duplicate,,"Incomplete, duplicate, empty, or already present on main; exact reason posted before closure."
368,Add Day 13 assignment by Khushi Patwa,patwakhushi1502,https://github.com/z-pandeyji/BIT-SummerTraining/pull/368,merged-direct,,Structure and completion review passed.
367,Day 07 raj kumar,raj7126770-star,https://github.com/z-pandeyji/BIT-SummerTraining/pull/367,replaced-by-clean-repair,#413,Completed assignment files moved to canonical paths; original malformed PR closed.
366,Add Day 4 assignment by Ashish Sharma,ashish972168,https://github.com/z-pandeyji/BIT-SummerTraining/pull/366,merged-direct,,Structure and completion review passed.
365,Add day 10 assignment by Deependra,Deependra022,https://github.com/z-pandeyji/BIT-SummerTraining/pull/365,replaced-by-clean-repair,#414,Completed assignment files moved to canonical paths; original malformed PR closed.
